geo_point_2d,geo_shape,str_from,segpart,statusid,segid,streetname,streetid,schedule,mapstatus,str_to,segdescr
"-37.819380697042966, 144.96414250809366","{""coordinates"": [[[144.963038746779, -37.81969750612], [144.963001946081, -37.819617554333], [144.963215790599, -37.819566827281], [144.963464061736, -37.819507932275], [144.963432828028, -37.819424726337], [144.96361321828, -37.819379238783], [144.963711267928, -37.819355488311], [144.963809977662, -37.819333525793], [144.963909295681, -37.819313362755], [144.96396148826, -37.819303269155], [144.964029284836, -37.819291403903], [144.964097674144, -37.81928191775], [144.964166523582, -37.81927482909], [144.96461393622, -37.819236716044], [144.964887023612, -37.819203769277], [144.965159024847, -37.819165585228], [144.965429780317, -37.819122186303], [144.9654531569, -37.819079177915], [144.965507371678, -37.819071798663], [144.965468038711, -37.819132343079], [144.965573660441, -37.819114096234], [144.965587178461, -37.819111761455], [144.965595001021, -37.819148918709], [144.96555769248, -37.819156339593], [144.965467918975, -37.81917331746], [144.965207069859, -37.819225687529], [144.965120018477, -37.819241865967], [144.965006827351, -37.819266433091], [144.964811636773, -37.819305143364], [144.964794862197, -37.819297369151], [144.964683916576, -37.81931987684], [144.964673677595, -37.819332985875], [144.964414957946, -37.819386164192], [144.964397963584, -37.819378699733], [144.96428944265, -37.819400811895], [144.964277901872, -37.81941465898], [144.964010295343, -37.819470577323], [144.963996746998, -37.819471324426], [144.963995914432, -37.819468756098], [144.963782070749, -37.819512413072], [144.963786147625, -37.819515938682], [144.963747860107, -37.819543797833], [144.963751413017, -37.81954683676], [144.963727283341, -37.819564585346], [144.963720829569, -37.819559087409], [144.963717016793, -37.819561866479], [144.963703233239, -37.819550007446], [144.963362696032, -37.819623658851], [144.963328053858, -37.819633167206], [144.963303767014, -37.819638568688], [144.963038746779, -37.81969750612]]], ""type"": ""Polygon""}",,,,22910,,,Complete,,,Northbank between Banana Alley and Southbank Pedestrian Bridge
"-37.81240658497714, 144.94409777980977","{""coordinates"": [[[[144.944896790297, -37.812330144984], [144.944719555178, -37.812362321648], [144.944644427659, -37.812390729455], [144.94456994991, -37.812420194503], [144.944496145565, -37.81245070744], [144.944442320526, -37.812473833657], [144.944002248493, -37.812691243711], [144.943944948142, -37.812716880168], [144.943885976296, -37.812740008244], [144.943825507254, -37.81276055958], [144.943264494151, -37.812546450293], [144.943097289796, -37.812449068609], [144.943032126107, -37.812411115544], [144.943167744632, -37.81243803076], [144.943291503983, -37.812448543693], [144.943423875682, -37.812443427374], [144.94354956575, -37.812424275591], [144.943723213609, -37.812371612058], [144.944457621195, -37.812091691408], [144.944535666598, -37.812061943506], [144.9446971071, -37.812000408746], [144.944896790297, -37.812330144984]]]], ""type"": ""MultiPolygon""}",,,,22547,,,Years 5 - 7,,,Dudley Street between Wurundjeri Way and Harbour Esplanade
"-37.79393383383194, 144.93030068987494","{""coordinates"": [[[[144.930176600861, -37.79402303436], [144.930167353893, -37.793984200666], [144.930091090945, -37.793663901491], [144.930089170902, -37.79365583468], [144.930051409102, -37.793497238433], [144.930321823401, -37.793456189799], [144.930418877448, -37.793835116013], [144.930460796369, -37.794011218408], [144.930454957926, -37.794012160269], [144.930467170971, -37.794059837016], [144.930472176666, -37.794059029215], [144.930556372964, -37.794387749344], [144.930584853267, -37.794404690823], [144.930340424772, -37.794377415507], [144.930258810903, -37.794368308586], [144.930210452637, -37.794165210942], [144.930207500787, -37.794152812981], [144.930176600861, -37.79402303436]]]], ""type"": ""MultiPolygon""}",,,,22965,,,Years 8 - 10,,,Bellair Street between Macaulay Road and Wight Street
"-37.823449146550324, 144.96173351299805","{""coordinates"": [[[[144.961041191305, -37.823121147969], [144.961702920777, -37.823255190686], [144.961818422146, -37.823285856401], [144.961930814499, -37.82332308818], [144.962039505495, -37.823366689805], [144.962047762174, -37.823359683704], [144.962537375145, -37.823609788496], [144.96261842673, -37.823607618813], [144.962292379208, -37.823884583722], [144.962276572816, -37.823791030494], [144.962011025869, -37.823657181557], [144.961915019691, -37.823616938226], [144.961817466412, -37.823579684415], [144.961716484703, -37.823548819779], [144.961613269925, -37.823522831114], [144.961609943838, -37.823532850461], [144.961499434271, -37.823503243178], [144.96099207767, -37.823447840043], [144.960921636726, -37.823485031767], [144.961041191305, -37.823121147969]]]], ""type"": ""MultiPolygon""}",,,,22056,,,Years 8 - 10,,,Power Street between Queens Bridge Street and City Road
"-37.79760730096552, 144.9716937040889","{""coordinates"": [[[[144.970710143058, -37.797361567442], [144.970892253941, -37.797381044638], [144.970925565117, -37.797384314013], [144.971517448515, -37.797450391748], [144.97154487007, -37.797453453162], [144.97179941096, -37.797481868972], [144.971870014834, -37.797489750938], [144.972737952216, -37.79758862737], [144.972693764885, -37.797855301598], [144.971920618505, -37.797768142372], [144.971879154699, -37.797764845523], [144.971663167654, -37.797740239931], [144.9716294219, -37.797736243236], [144.971456018091, -37.797717027998], [144.971423336439, -37.797713407341], [144.970652376396, -37.797629926347], [144.970699668592, -37.797360447021], [144.970710143058, -37.797361567442]]]], ""type"": ""MultiPolygon""}",,,,20654,,,Complete,,,Elgin Street between Canning Street and Rathdowne Street
"-37.80523159417859, 144.94224646633276","{""coordinates"": [[[[144.942114480552, -37.805177288376], [144.942396632571, -37.805208631384], [144.94238313757, -37.805284555606], [144.942288732102, -37.805274007035], [144.94219413567, -37.805265322562], [144.942099152814, -37.805260305216], [144.942114480552, -37.805177288376]]]], ""type"": ""MultiPolygon""}",,,,21334,,,Not determined by precinct plan,,,Miller Street between Stawell Street and Anderson Street
"-37.79672935215943, 144.97457245188818","{""coordinates"": [[[[144.974655373383, -37.796604913387], [144.974932343979, -37.796634600312], [144.974888933243, -37.796897397559], [144.974213264413, -37.79682522476], [144.974258325093, -37.796559610242], [144.974432334525, -37.796579160677], [144.974449465893, -37.796581085566], [144.974621770019, -37.796600455894], [144.974655373383, -37.796604913387]]]], ""type"": ""MultiPolygon""}",,,,22602,,,Complete,,,Palmerston Street between Nicholson Street and Station Street
"-37.80970169422004, 144.94969813694922","{""coordinates"": [[[[144.949340185671, -37.809459831956], [144.949628304636, -37.809324554352], [144.949739937206, -37.809477044733], [144.949847824842, -37.809633615211], [144.95005856588, -37.809953868619], [144.949754018563, -37.81007196418], [144.949340185671, -37.809459831956]]]], ""type"": ""MultiPolygon""}",,,,21417,,,Not determined by precinct plan,,,Spencer Street between Dudley Street and Rosslyn Street
"-37.835779141018904, 144.9765043077172","{""coordinates"": [[[[144.976256375622, -37.836406159243], [144.976360917731, -37.835908172018], [144.976366446734, -37.835879820576], [144.976453150997, -37.835468034871], [144.976460331527, -37.835436626186], [144.976544435279, -37.835031644605], [144.976761821595, -37.835060550592], [144.976684936582, -37.835437837137], [144.976681629097, -37.835466149277], [144.976544300294, -37.836128382869], [144.976543012918, -37.836136822773], [144.976451411907, -37.836593889464], [144.976256375622, -37.836406159243]]]], ""type"": ""MultiPolygon""}",,,,22204,,,Complete,,,Arnold Street between Toorak Road and Bromby Street
"-37.8100957466845, 144.97556107263443","{""coordinates"": [[[[144.975851046891, -37.809743922647], [144.975719792475, -37.810533797415], [144.975264211994, -37.810485445883], [144.975404236557, -37.809654991914], [144.975857076604, -37.80970763672], [144.975851046891, -37.809743922647]]]], ""type"": ""MultiPolygon""}",,,,21849,,,Years 8 - 10,,,Gisborne Street between Cathedral Place and Albert Street
"-37.812609296952196, 144.9708069138804","{""coordinates"": [[[[144.970832184895, -37.813058360373], [144.970457345165, -37.812254604512], [144.970781341727, -37.812158860107], [144.971156729149, -37.812966374217], [144.970832184895, -37.813058360373]]]], ""type"": ""MultiPolygon""}",,,,20141,,,Years 5 - 7,,,Exhibition Street between Little Collins Street and Bourke Street
"-37.80297081767684, 144.94888430569168","{""coordinates"": [[[[144.948353210917, -37.802778139874], [144.948586459601, -37.802803860443], [144.948655192975, -37.802810755018], [144.948989942201, -37.802844604267], [144.949022404784, -37.802847395566], [144.94919410973, -37.802864625453], [144.949238446968, -37.802869669161], [144.949462100655, -37.802894344961], [144.949482414691, -37.802879739176], [144.949479187852, -37.802896333105], [144.949426959618, -37.803164916549], [144.949176063883, -37.803139531938], [144.949142699624, -37.803136156334], [144.948856131556, -37.803104660719], [144.948814459009, -37.803100386924], [144.948569923515, -37.803075309168], [144.948530296388, -37.803071245734], [144.948290154046, -37.803046134889], [144.948336340579, -37.802776279708], [144.948353210917, -37.802778139874]]]], ""type"": ""MultiPolygon""}",,,,20999,,,Years 8 - 10,,,Queensberry Street between Errol Street and Curzon Street
"-37.796101855480984, 144.9751123910085","{""coordinates"": [[[[144.975038553934, -37.796013010181], [144.975042773759, -37.795988401223], [144.975117835919, -37.795549155433], [144.975292048032, -37.795567777141], [144.975107775853, -37.796653353236], [144.974932343979, -37.796634600312], [144.975038553934, -37.796013010181]]]], ""type"": ""MultiPolygon""}",,,,20882,,,Years 5 - 7,,,Nicholson Street between Palmerston Street and Kay Street
"-37.79121127356911, 144.93020001732708","{""coordinates"": [[[[144.930311886162, -37.791131800585], [144.93035442039, -37.791319983308], [144.93009008247, -37.791292026066], [144.930044561944, -37.791101985715], [144.930311886162, -37.791131800585]]]], ""type"": ""MultiPolygon""}",,,,22998,,,Years 8 - 10,,,Intersection of Eastwood Street and Smith Street
"-37.81603229922381, 144.95696942888324","{""coordinates"": [[[[144.955833885575, -37.816214872765], [144.9566491418, -37.815981615925], [144.956745231629, -37.815951741406], [144.957124019017, -37.815842351667], [144.957163628785, -37.815832352755], [144.957196285443, -37.815822924398], [144.95752060496, -37.815729288047], [144.95759882774, -37.815706909768], [144.957983054712, -37.815598439763], [144.958103000681, -37.815853282312], [144.957179965649, -37.816115135553], [144.957030073071, -37.816157971234], [144.956381914197, -37.816344140145], [144.956318555517, -37.816362450858], [144.95594649157, -37.816468051682], [144.955833885575, -37.816214872765]]]], ""type"": ""MultiPolygon""}",,,,20088,,,Years 8 - 10,,,Bourke Street between William Street and King Street
"-37.81556411207057, 144.9565127356157","{""coordinates"": [[[[144.9566491418, -37.815981615925], [144.956284951297, -37.81518288151], [144.956279338369, -37.815170571367], [144.956328042039, -37.815156671682], [144.956373243958, -37.815143621387], [144.956387125217, -37.815173779511], [144.956745231629, -37.815951741406], [144.9566491418, -37.815981615925]]]], ""type"": ""MultiPolygon""}",,,,20415,,,Years 8 - 10,,,Gresham Street between Bourke Street and Little Bourke Street
"-37.81120319281814, 144.9659656454697","{""coordinates"": [[[[144.966087007468, -37.811023819388], [144.966154185942, -37.811004021974], [144.966980715432, -37.81076044418], [144.967095478085, -37.811013852972], [144.966907260485, -37.811069313227], [144.966855468529, -37.811084574373], [144.966497928626, -37.811189926418], [144.966440441634, -37.811206865248], [144.965412471569, -37.811509752662], [144.96537691407, -37.811520229948], [144.964949476919, -37.811646168007], [144.96483664216, -37.811392283177], [144.964924693128, -37.811366336225], [144.96493383732, -37.811363641138], [144.965661364824, -37.811149251282], [144.965721891239, -37.811131415504], [144.966087007468, -37.811023819388]]]], ""type"": ""MultiPolygon""}",,,,20005,,,Years 8 - 10,,,Lonsdale Street between Russell Street and Swanston Street
"-37.81206277838995, 144.97269047386462","{""coordinates"": [[[[144.972572853069, -37.811894217592], [144.972558946665, -37.811866915793], [144.97246982463, -37.811667967512], [144.97253503469, -37.811648958028], [144.972660645355, -37.811917186199], [144.972912654597, -37.812455206627], [144.972845301187, -37.812475268035], [144.972572853069, -37.811894217592]]]], ""type"": ""MultiPolygon""}",,,,20234,,,Years 5 - 7,,,Windsor Place between Bourke Street and Little Collins Street
"-37.791440934470245, 144.92512106744417","{""coordinates"": [[[[144.924982664134, -37.791452959944], [144.925174771965, -37.79134218483], [144.925258097002, -37.791429379625], [144.925069815002, -37.791539297674], [144.924982664134, -37.791452959944]]]], ""type"": ""MultiPolygon""}",,,,21763,,,Years 8 - 10,,,Intersection of Epsom Road and Westbourne Road
"-37.79911332631905, 144.97137441715637","{""coordinates"": [[[[144.970436887525, -37.798875495632], [144.970438636252, -37.798865091019], [144.970450371808, -37.798876990572], [144.972474213934, -37.799101373674], [144.972198519742, -37.799343361497], [144.971805048614, -37.799297597862], [144.971724728505, -37.799289119534], [144.971311539327, -37.799245774956], [144.971298844983, -37.799244005345], [144.97039559052, -37.799148141201], [144.970436887525, -37.798875495632]]]], ""type"": ""MultiPolygon""}",,,,20673,,,Complete,,,Faraday Street between Canning Street and Rathdowne Street
"-37.80304158855682, 144.95898026627458","{""coordinates"": [[[[144.958408492157, -37.802061311176], [144.958665262028, -37.802089786046], [144.958692139505, -37.802092766238], [144.958674603149, -37.802110099186], [144.959210935165, -37.803276397055], [144.959224557715, -37.80330602051], [144.959553674062, -37.804021260668], [144.959294010587, -37.803991401976], [144.958796455972, -37.802910487309], [144.958784355644, -37.80288465711], [144.958408492157, -37.802061311176]]]], ""type"": ""MultiPolygon""}",,,,20472,,,Years 8 - 10,,,Berkeley Street between Queensberry Street and Pelham Street
"-37.849480010992636, 144.9843314786843","{""coordinates"": [[[[144.984273931087, -37.84944770629], [144.984448400574, -37.84839114553], [144.98457201897, -37.848403979789], [144.984214293594, -37.850570307467], [144.984091148416, -37.850554573714], [144.984261380327, -37.849523712668], [144.984273931087, -37.84944770629]]]], ""type"": ""MultiPolygon""}",,,,22480,,,Not determined by precinct plan,,,Punt Road between High Street and Moubray Street
"-37.810846357370444, 144.9874701593517","{""coordinates"": [[[[144.988584351003, -37.811104350977], [144.986306534837, -37.810856457967], [144.9863519405, -37.810587528532], [144.986664460204, -37.810622997936], [144.986702892224, -37.810627384122], [144.988632118859, -37.810834765219], [144.988584351003, -37.811104350977]]]], ""type"": ""MultiPolygon""}",,,,21580,,,Complete,,,Albert Street between Simpson Street and Powlett Street
